Abn,MemberNo
00144517803,P812
00570012137,V981
010 765 527,B999
01104945661,459H
01316145704,691F
02013620130,4850
02346434862,F464
02679197740,97F2
02705485390,L898
03095095426,G982
03352465498,D115
034060146947,C151
03485673243,842R
03607804549,78G0
03758159924,457I
04011062338,C579
04155793098,816A
04732707693,228T
051 202 147,A777
051 762 504,0762
08098407441,182H
08127802788,F190
08127802788,F195
08160411681,J597
08727691636,611E
1 812 338 429,2322
11000193377,3548
11000193377,3549
11000193377,9071
11000593091,5563
11000593091,K489
11000931671,670Q
11003190761,X307
11003190761,6915
11003510263,H117
11003690542,0319
11004089936,1709
11004263606,669I
11005308312,R916
11006830539,4649
11007579811,V194
11007869418,Y236
11007869418,T466
11008489699,768C
11008766461,893T
11009180349,M696
11009946177,718D
11010846794,855J
11012338415,44E7
11016785736,P637
11018956790,795D
11019084635,613L
11023080829,42F2
11026181277,N267
11026392374,51J0
11026530387,W206
11033298240,K434
11040421844,156S
11041911300,H382
11045379465,51B2
11050353832,790A
11051059568,T356
11056070797,464V
11057506753,360S
11057687955,01H8
11057978097,29H7
11060120850,Y839
11066791259,451Z
11068120658,X416
11069790263,D425
11071713543,F816
11075608034,63G7
11076697052,572I
11077889172,W114
11079532527,846L
11082514164,W834
11082820760,M660
11084566272,U736
11084566272,U735
11087629767,E810
11087744836,252J
11088410052,N981
11088667761,M463
11090783751,8016
11098155205,229R
111 649 828,1834
11100529320,U017
11100823689,73C1
11110795832,891S
11110795832,892S
11110862452,0061
11112462150,K869
11113207747,203S
11113571173,L133
11118350913,178X
11128408116,942C
11128979457,F281
11130921599,N235
11132590713,855Z
11138561234,A064
11141358946,93F5
11141358946,E803
11149101802,I215
11149338764,6659
11153899917,Z961
11158619339,327H
11161363533,129M
11161452697,229E
11169392723,28F3
11169537713,24H0
11170045200,V057
11170045200,3092
11177071145,09F1
11185827461,44G2
11185827461,R281
11187856699,I826
11188536312,Q317
11194534496,678I
11197559512,539K
11199193930,D883
112 007 333,2355
11200421538,547W
11200468621,71E1
11201730185,N381
11203740422,W897
11205376616,T044
11206397600,42D2
11213268900,41B6
11218416045,Y295
11218495948,38F8
11219295872,V126
11223671406,H248
11223964539,H146
11226783610,1905
11227760216,P592
11235562703,F036
11235990377,M399
11236289898,N801
11236757366,E156
11237002343,W104
11237259890,83E9
11240282065,F482
11241406186,102C
11241440527,052K
11243460403,522V
11243960086,2344
11244227456,V151
11247370041,986V
11248947099,6804
11249109369,78D7
11252180571,338H
11253119393,608Y
11255872006,W429
11257414299,U412
11261064732,F811
11262003948,66F3
11263910548,V785
11266157823,L704
11268794071,V163
11271772856,17F1
11271873426,J868
11274816011,433W
11276158164,G156
11277197437,64K2
11278287017,U789
11286460117,E900
11286460117,3601
11286460117,3602
11288364178,039V
11292990056,6129
11296232637,156V
11298355782,386E
11299667426,J454
113 097 174 304,0999
11301867218,3088
11304370237,T843
11314781739,D060
11317707265,354W
11319829578,T454
11321774793,947Q
11321774793,948Q
11322827842,26E7
11324233138,51K6
11324602801,468K
11325351241,U322
11325351241,D332
11327598391,767M
11328923265,32J7
11335101411,855V
11347566786,537C
11348200158,869M
11352894199,D422
11354984022,355P
11356431097,Q200
11357826506,4920
11358316270,I556
11359522149,200C
11360350838,564M
11361456305,837C
11364428481,Q598
11367155152,834J
11367405410,8241
11368178496,94H4
11368551635,658D
11372672337,264K
11375187899,D152
11376731889,M242
11380789309,N124
11381223950,1A00
11381507126,6190
11387752679,5988
11388602456,U630
11390715686,071E
11391676212,13J7
11395902338,653H
11397831332,L224
11400300378,643M
11401505923,P427
11402589659,S041
11413764080,189B
11413886497,572L
11414385706,X108
11415934761,4120
11417416532,41E4
11417933210,528B
11418857284,642T
11420952830,Y597
11425826594,L510
11430299484,503N
11432489799,8024
11432513738,T075
11443936088,S442
11447519750,N641
11451735870,34E9
11451735870,2915
11452574431,06E0
11455380384,P629
11457305916,E024
11459138827,I680
11463967572,080F
11465580595,870M
11467792068,8398
11469844830,D610
11470233636,3648
11472445270,P287
11472445270,P286
11474938536,N364
11476763515,972W
11478398511,P701
11478603063,I218
11480295255,884A
11482940500,12F1
11485910299,K430
11487313964,32E5
11492451168,578Z
11492753002,860N
11493099017,2181
11495446683,651I
11495487602,326U
11496352139,376X
11496718993,612F
11504324904,X697
11506487415,E413
11512010599,44F4
11513404842,V110
11515747254,55B3
11516530805,250M
11519479129,553X
11521338289,013X
11522946485,31E6
11523969558,V162
11525593981,79J3
11528785392,R750
11529698019,N942
11529874211,8678
11533151459,7069
11536105670,E885
11537263365,2394
11539767129,37D5
